runtime,throughput,latency,Threads,Queue
40.25,993803.63,110.72,4,BackoffBatchQueue
62.44,640648.85,162.11,4,BatchQueue
56.24,711238.82,926.43,4,LockBasedQueue
27.5,1454492.56,809.97,4,MSQueue
36.94,2165685.79,4.95,8,BackoffBatchQueue
48.71,1642518.23,882.37,8,BatchQueue
48.04,1665341.33,6830.0,8,LockBasedQueue
22.05,3628085.01,3730.0,8,MSQueue
92.42,1731168.94,29.23,16,BackoffBatchQueue
127.14,1258455.26,1540.0,16,BatchQueue
77.03,2077204.53,14470.0,16,LockBasedQueue
82.15,1947573.75,16.99,16,MSQueue
410.06,780367.32,384.09,32,BackoffBatchQueue
594.69,538093.04,1.64,32,BatchQueue
174.71,1831634.97,39100.0,32,LockBasedQueue
332.68,961887.03,1.33,32,MSQueue
