Threads,Queue,runtime
4,BackoffBatchQueue,55.02
4,BatchQueue,64.25
4,LockBasedQueue,124.53
4,MSQueue,85.98
8,BackoffBatchQueue,135.32
8,BatchQueue,104.42
8,LockBasedQueue,179.54
8,MSQueue,145.16
16,BackoffBatchQueue,305.41
16,BatchQueue,257.54
16,LockBasedQueue,356.34
16,MSQueue,339.05
32,BackoffBatchQueue,1069.45
32,BatchQueue,980.27
32,LockBasedQueue,867.5
32,MSQueue,1129.85
