threads,requests_per_client,queue,runtime_ms,throughput_reqs_per_sec,latency_ms,avg_enqueue_ms,avg_dequeue_ms
4,50000,BackoffBatchQueue,112.9,1771529.4,0.01455,0.00155,0.0011799999999999998
4,50000,BatchQueue,132.76,1506527.78,0.08621,0.00197,0.0016
4,50000,LockBasedQueue,197.65,1011884.07,3.53,0.00348,0.0033
4,50000,MSQueue,103.77,1927337.45,1.73,0.0015,0.00134
8,50000,BackoffBatchQueue,206.53,1936803.08,8.42,0.00276,0.00131
8,50000,BatchQueue,241.28,1657811.19,7.08,0.00254,0.00114
8,50000,LockBasedQueue,402.25,994402.01,88.09,0.0059299999999999995,0.00369
8,50000,MSQueue,209.56,1908739.35,26.92,0.0025,0.00133
16,50000,BackoffBatchQueue,563.42,1419895.61,4.42,0.006549999999999999,0.00197
16,50000,BatchQueue,555.07,1441269.53,0.51254,0.00373,0.002
16,50000,LockBasedQueue,740.41,1080487.4,168.92,0.010960000000000001,0.00709
16,50000,MSQueue,643.27,1243641.49,0.76942,0.00741,0.00265
